AI01,fuel_quantity,factory,output_value,a1_x,a5,state,costop,expshare,emissions_proxy,carbon_intensity,vulnerability,exporter
121550,26665.0,121550,29885572392.0,121550,23942,22,8627075811.0,0,64529.299999999996,2.1592124505292627e-06,7.479857765677863e-06,0
121576,4371139.44,121576,386296600000.0,121576,24103,22,183100100000.0,0,10578157.4448,2.738351164571472e-05,5.777253778015414e-05,0
121700,107436.97,121700,15091868192.0,121700,24105,22,6976881478.0,0,259997.4674,1.7227652938144612e-05,3.7265570329644056e-05,0
121719,186852.02,121719,32285460212.0,121719,24103,22,11962900825.0,0,452181.88839999994,1.4005743930264032e-05,3.779868236097326e-05,0
126600,106604.01,126600,6227441738.0,126600,23941,24,3016264370.0,0,257981.70419999998,4.1426594587917116e-05,8.553020311014713e-05,0
126603,281673.05,126603,22778200000.0,126603,23941,24,12331400000.0,0,681648.781,2.99254893275149e-05,5.527748520038276e-05,0
126605,257883.86,126605,22555877288.0,126605,23941,24,8418532423.0,0,624078.9412,2.7668129828495634e-05,7.413155997296799e-05,0
126607,209678.62,126607,26887145184.0,126607,23941,24,7725750242.0,0,507422.26039999997,1.8872299640869152e-05,6.567935080808945e-05,0
126609,120177.06,126609,11685732000.0,126609,23941,24,3905897300.0,0,290828.4852,2.4887485456623513e-05,7.44588151869738e-05,0
126677,2634872.38,126677,537234800000.0,126677,24105,24,257976800000.0,0,6376391.1596,1.1868909384872312e-05,2.4716917023546303e-05,0
126695,14886.0,126695,20020936982.0,126695,24109,24,10272572330.0,35,36024.119999999995,1.799322380984856e-06,3.5068256365346026e-06,1
126696,3732.64,126696,8048612080.0,126696,24102,24,4474111001.0,5,9704.864,1.2057810593351394e-06,2.1691156070626958e-06,1
126699,53353.02,126699,10933702388.0,126699,24103,24,5679982635.0,40,129114.3084,1.1808836917100107e-05,2.2731461818984943e-05,1
126702,28068.0,126702,15984430520.0,126702,24101,24,8483871643.0,0,67924.56,4.249420078808037e-06,8.006316320926922e-06,0
132273,38438.99,132273,23204746152.0,132273,23942,27,5673346357.0,0,93022.35579999999,4.0087642067130506e-06,1.6396382301818275e-05,0
132274,110660.78,132274,19446071946.0,132274,23942,27,7013636016.0,0,267799.08759999997,1.3771371840218119e-05,3.818263265859218e-05,0
132275,40504.86,132275,3827231746.0,132275,23943,27,1732780872.0,0,98021.7612,2.5611660778693802e-05,5.656904619847396e-05,0
132278,23555.99,132278,33835979842.0,132278,23942,27,6446241363.0,0,57005.495800000004,1.684759716319493e-06,8.843214609865362e-06,0
132283,28250.39,132283,12178255678.0,132283,23943,27,6994969434.0,0,68365.9438,5.6137714306247455e-06,9.77358721078866e-06,0
132368,49522.99,132368,35085957956.0,132368,24105,27,15843686132.0,0,119845.63579999999,3.4157720860947836e-06,7.564252081335033e-06,0
132415,2601863.37,132415,359135329434.0,132415,24105,27,222811761221.0,0,6296509.3554,1.7532414216455245e-05,2.825932222291753e-05,0
132425,82107.76,132425,6483601922.0,132425,24102,27,3274983819.0,0,198700.7792,3.064666547860894e-05,6.067229341629916e-05,0
136279,132652.05,136279,20279919324.0,136279,23941,28,9864800977.0,0,321017.96099999995,1.5829350988595674e-05,3.254175748182456e-05,0
136281,58518.05,136281,2937766394.0,136281,23942,28,1297354601.0,0,141613.681,4.8204541140244256e-05,0.00010915572418739201,0
136284,68714.02,136284,14794698386.0,136284,23941,28,3485764167.0,0,166287.9284,1.1239697090233063e-05,4.770487056303485e-05,0
136285,27478.01,136285,4303348210.0,136285,23941,28,1200103598.0,0,66496.7842,1.5452336402960986e-05,5.540920326446683e-05,0
136286,157501.99,136286,31018997764.0,136286,23942,28,13411636557.0,0,381154.8158,1.2287786301153814e-05,2.8419709569378542e-05,0
136288,86166.01,136288,16856508000.0,136288,23942,28,8064200000.0,0,208521.7442,1.237039985980489e-05,2.5857709903028198e-05,0
136289,52418.03,136289,41721400000.0,136289,23942,28,10165573430.0,0,126851.6326,3.0404452535149828e-06,1.2478551600999058e-05,0
136290,62470.03,136290,19906387314.0,136290,23942,28,3579282980.0,0,151177.47259999998,7.594420334305366e-06,4.22368036963649e-05,0
136293,13570.0,136293,14012719772.0,136293,23942,28,3504157395.0,0,32839.4,2.343542191261056e-06,9.371553928159098e-06,0
136296,20588.01,136296,6075046000.0,136296,23942,28,2539382000.0,0,49822.98419999999,8.201252171588493e-06,1.9620121824916452e-05,0
136297,167857.94,136297,19903988000.0,136297,23942,28,6879071922.0,0,406216.2148,2.0408785154010342e-05,5.905102016754289e-05,0
136298,121860.97,136298,11757469978.0,136298,23941,28,5096447678.0,0,294903.5474,2.5082228400481482e-05,5.7864529576751985e-05,0
136348,4288537.76,136348,369829213074.0,136348,24108,28,193265762802.0,0,10378261.379199998,2.8062308255576846e-05,5.3699430404714184e-05,0
136355,260731.84000000003,136355,105923908204.0,136355,24103,28,44561797831.0,0,648561.5618,6.12290060664046e-06,1.4554205471234817e-05,0
136359,68304.01,136359,24786102000.0,136359,24101,28,11785317000.0,0,165295.70419999998,6.668886628482364e-06,1.4025562842306233e-05,0
136365,167321.8,136365,5177621522.0,136365,24104,28,2438238108.0,0,404918.75599999994,7.82055533181554e-05,0.00016607022696898968,0
136371,134898.88,136371,21646604838.0,136371,24104,28,7522894833.0,0,326455.2896,1.5081131292558038e-05,4.339490273982939e-05,0
136375,9851.23,136375,2502959132.0,136375,24102,28,1108843609.0,0,23839.976599999998,9.524716682429635e-06,2.1499854809552317e-05,0
136380,6441.0,136380,3777403726.0,136380,24104,28,1746838006.0,0,15587.22,4.126437397388219e-06,8.923105603645768e-06,0
136401,325452.25,136401,10622846616.0,136401,24204,28,4719169815.0,0,787594.445,7.414156237686186e-05,0.0001668925840508242,0
136403,2007.0,136403,1161550130.0,136403,24204,28,488282470.0,0,4856.94,4.181429517811684e-06,9.946988266852995e-06,0
139032,87123.04,139032,31628653886.0,139032,23942,29,10736010249.0,0,210837.75679999997,6.666036359306599e-06,1.9638371416387047e-05,0
139034,114386.99,139034,39652712278.0,139034,23941,29,10164096877.0,0,276816.5158,6.981023488614738e-06,2.7234738034266375e-05,0
139043,231505.02,139043,15691481086.0,139043,23941,29,5581243530.0,0,601913.052,3.835922490051173e-05,0.00010784568864709618,0
139044,223819.92,139044,22469746000.0,139044,23941,29,6261650000.0,0,541644.2064,2.4105488615670155e-05,8.650183360615813e-05,0
139048,28804.01,139048,26090833082.0,139048,23941,29,6584614539.0,0,69705.7042,2.671654982457796e-06,1.0586148025391649e-05,0
139053,109263.98,139053,17217895820.0,139053,23941,29,5204253598.0,0,264418.8316,1.5357209403767898e-05,5.0808214208011774e-05,0
139110,8922372.9,139110,858182007424.0,139110,24103,29,372620848531.0,0,21592142.418,2.5160329896466847e-05,5.7946683614520444e-05,0
139113,17384.0,139113,21028642000.0,139113,24101,29,11144043659.0,0,42069.28,2.0005704600420704e-06,3.7750462298327936e-06,0
